OBJECTID,Plot,GPX,Slope,Elevation,aspect,TPI
1,Q_UNB_FR_01,UFR01,23.8106556,2182,281.3099365,-7.7299805
2,Q_HIGH_FR_01,HFR01,18.5649109,2229,6.3401909,2.8300781
3,Q_HIGH_FR_02,HFR02,16.5533714,2195,343.0724792,4.3400879
4,Q_HIGH_FR_03,HFR03,11.5655661,2256,25.0168934,3.3701172
5,Q_HIGH_FR_04,HFR04,14.5697870,2263,92.7263107,1.1000977
6,Q_HIGH_FR_05,HFR05,12.4705963,2275,296.5650635,0.7900391
7,Q_HIGH_FR_06,HFR06,33.0510521,2137,51.1701736,1.9299316
8,Q_HIGH_FR_07,HFR07,9.3662157,2247,102.9946136,1.4499512
9,Q_MOD_FR_01,MFR01,19.0033855,1951,111.0375137,0.3900146
10,Q_MOD_FR_02,MFR02,21.5270367,2163,122.1957321,4.0100098
11,Q_MOD_FR_03,MFR03,11.8492041,1958,45.0000000,1.9499512
12,Q_MOD_FR_04,MFR04,14.6953917,1958,8.1301012,7.0200195
13,Q_MOD_FR_06,MFR06,14.5697870,2152,115.3461761,6.8798828
14,Q_MOD_FR_07,MFR07,19.0033855,2103,158.9624939,9.0400391
15,Q_LOW_FR_01,LFR01,20.9993572,2004,345.0685730,3.1600342
16,Q_LOW_FR_02,LFR02,18.3524609,2123,153.4349518,1.5200195
17,Q_LOW_FR_03,LFR03,8.4961805,2166,65.5560455,-3.1201172
18,Q_LOW_FR_04,LFR04,30.4440708,1997,112.2490234,7.3599854
19,Q_LOW_FR_05,LFR05,18.3524609,2245,243.4349518,-1.3601074
20,Q_LOW_FR_06,LFR06,9.7703352,2250,111.0375137,4.1699219
21,Q_LOW_FR_07,LFR07,16.7948437,2033,34.9920197,2.6199951
22,Q_UNB_FR_02,UFR02,15.7442102,2181,285.2551270,-1.5600586
23,Q_UNB_FR_03,UFR03,11.1891317,2198,90.0000000,0.3701172
24,Q_UNB_FR_04,UFR04,13.7878551,2197,139.0856171,2.9399414
25,Q_UNB_FR_05,UFR05,8.9424782,2194,45.0000000,0.3500977
26,Q_UNB_FR_06,UFR06,6.3877707,2242,96.3401947,2.1201172
27,Q_UNB_FR_07,UFR07,8.4386311,2213,90.0000000,0.3100586
28,Q_HIGH_CON_01,HC01,17.4946556,2082,41.8201714,5.7700195
29,Q_HIGH_CON_02,HC02,18.1850128,2118,340.2011108,0.9599609
30,Q_HIGH_CON_03,HC03,14.4747410,2264,106.6992416,1.7900391
31,Q_HIGH_CON_04,HC04,14.9122009,1987,21.8014088,9.8599854
32,Q_HIGH_CON_05,HC05,19.6264286,2008,33.6900673,-3.6899414
33,Q_HIGH_CON_06,HC06,9.3662157,2009,347.0053711,3.5799561
34,Q_HIGH_CON_07,HC07,16.6343422,2158,65.5560455,-3.7199707
35,Q_MOD_CON_01,MC01,19.8212261,2129,157.8336487,2.1298828
36,Q_MOD_CON_02,MC02,14.5697870,2248,357.2736816,-1.4899902
37,Q_MOD_CON_03,MC03,19.8212261,1978,84.0938568,2.1600342
38,Q_MOD_CON_04,MC04,17.7946815,2167,15.6422462,3.4199219
39,Q_MOD_CON_05,MC05,33.6087990,2122,80.3624649,3.0100098
40,Q_MOD_CON_06,MC06,21.0588951,2177,5.5275393,6.8100586
41,Q_MOD_CON_07,MC07,11.8891087,1987,356.6335449,6.5300293
42,Q_LOW_CON_01,LC01,17.0059414,1940,345.9637451,-8.7500000
43,Q_LOW_CON_02,LC02,23.3898735,1988,149.0362396,7.6899414
44,Q_LOW_CON_03,LC03,17.1880150,2163,267.7093811,-4.3200684
45,Q_LOW_CON_04,LC04,21.4499989,2065,102.7243576,6.0500488
46,Q_LOW_CON_05,LC05,24.1231880,1998,276.3401794,2.2700195
47,Q_LOW_CON_06,LC06,19.8212261,2159,84.0938568,-0.0800781
48,Q_LOW_CON_07,LC07,12.8418512,2052,130.6012878,11.7800293
49,Q_UNB_CON_01,UC01,11.8891087,2210,93.3664627,1.0800781
50,Q_UNB_CON_02,UC02,12.8052740,2242,225.0000000,-0.3400879
51,Q_UNB_CON_03,UC03,10.9302053,2194,320.1944275,-0.1398926
52,Q_UNB_CON_04,UC04,9.7703352,2201,338.9624939,1.0000000
53,Q_UNB_CON_05,UC05,9.9173174,2228,45.0000000,-0.1499023
54,Q_UNB_CON_06,UC06,8.8879929,2193,108.4349518,4.0400391
55,Q_UNB_CON_07,UC07,14.2824183,2194,150.9453888,4.6499023
