OBJECTID,CID,Plot,Elevation,TPI,Slope,aspect
1,1,SC_FRL1_01,1691,-4.4499512,18.5883236,306.0273743
2,1,SC_FRL1_02,1735,-1.6600342,25.9682236,293.9624939
3,1,SC_FRL1_03,1751,4.6099854,15.4532146,169.6951599
4,2,SC_FRL2_01,1712,-3.2099609,28.0019608,271.3322144
5,2,SC_FRL2_02,1665,-4.1199951,9.8195934,270
6,2,SC_FRL2_03,1659,-1.25,12.8418512,282.5288086
7,3,SC_FRL3_01,1713,-2.5,22.8344536,273.3664551
8,3,SC_FRL3_02,1742,0.7299805,11.060503,108.4349518
9,3,SC_FRL3_03,1720,-0.0600586,10.9302053,50.1944275
10,4,SC_FRL4_01,1683,-0.1199951,8.8879929,108.4349518
11,4,SC_FRL4_02,1721,3.6999512,21.7747917,111.8014069
12,4,SC_FRL4_03,1747,-0.0999756,9.3662157,102.9946136
13,5,SC_FRL5_01,1708,1.8399658,11.8492041,45
14,5,SC_FRL5_02,1698,0.7700195,5.3787646,113.1985931
15,5,SC_FRL5_03,1687,0.6700439,12.0079355,125.5376816
16,6,SC_FRL6_01,1750,2.3499756,19.2736511,98.1301041
17,6,SC_FRL6_02,1766,5.8499756,6.977592,225
18,6,SC_FRL6_03,1716,-3.4599609,28.6440639,264.8055725
19,,SC_CON_14,1709,1.6300049,9.4177504,116.5650482
20,,SC_CON_15,1700,1.4399414,13.6524496,104.7435608
21,,SC_CON_16,1671,-4.4100342,24.445713,315
22,,SC_CON_17,1699,1.9000244,28.0019608,252.4075775
23,,SC_CON_18,1705,2.5300293,14.054142,147.0947571
24,,SC_CON_01,1731,2.6099854,14.2824183,119.0546036
25,,SC_CON_02,1690,1.4300537,8.9424782,135
26,,SC_CON_03,1701,0.3299561,13.8884068,126.8698959
27,,SC_CON_04,1650,1.4899902,6.3100262,116.5650482
28,,SC_CON_05,1649,0.2399902,3.1646087,153.4349518
29,,SC_CON_06,1662,1.4000244,5.6484179,270
30,,SC_CON_07,1646,1.0200195,8.8879929,71.5650482
31,,SC_CON_08,1661,1.3499756,8.5533209,279.4623108
32,,SC_CON_09,1655,2.2099609,12.4705963,116.5650482
33,,SC_BURN_01,1717,0.0500488,16.3350296,117.6459732
34,,SC_BURN_02,1768,3.5300293,25.2096272,113.1985931
35,,SC_BURN_03,1746,2.1099854,13.1303024,122.0053864
36,,SC_BURN_04,1691,0.2700195,32.0772247,112.0112839
37,,SC_BURN_05,1690,0.4100342,16.7415543,80.537674
38,,SC_BURN_06,1694,-3.3399658,17.213829,298.6104736
39,,SC_BURN_07,1679,-3.0899658,10.2044287,285.9454041
40,,SC_BURN_08,1685,-2.5799561,21.4499989,294.1455383
41,,SC_BURN_09,1686,-2.6500244,15.7442102,307.8749695
42,,SC_BURN_10,1744,2.5400391,12.805274,112.3801346
43,,SC_BURN_11,1706,-3.3000488,8.4386311,0
44,,SC_BURN_12,1691,-3.0200195,18.9578495,239.7435608
45,,SC_BURN_13,1678,0.1800537,9.9657917,129.2894135
46,,SC_BURN_14,1712,-2.9699707,17.4946556,334.440033
47,,SC_BURN_15,1708,2.4699707,5.0945053,146.3099365
48,,SC_CON_10,1665,2.0799561,11.1891317,90
49,,SC_CON_11,1650,0,4.4708924,108.4349518
50,,SC_CON_12,1679,0.0600586,6.3877707,83.6598053
51,,SC_CON_13,1658,1.3199463,2.8310876,180
52,,SC_BURN_16,1739,4.6899414,8.5533209,170.537674
53,,SC_BURN_17,1751,3.2700195,18.5883236,107.1027298
54,,SC_BURN_18,1697,-0.7299805,10.664361,113.1985931
